date,counts
2023-01-01,1457
2023-01-02,2275
2023-01-03,2151
2023-01-04,2331
2023-01-05,2669
2023-01-06,2555
2023-01-07,1366
2023-01-08,1396
2023-01-09,2015
2023-01-10,2466
2023-01-11,2667
2023-01-12,2215
2023-01-13,2340
2023-01-14,1364
2023-01-15,1287
2023-01-16,2451
2023-01-17,2730
2023-01-18,3085
2023-01-19,2384
2023-01-20,2296
2023-01-21,1263
2023-01-22,1248
2023-01-23,2241
2023-01-24,2456
2023-01-25,2484
2023-01-26,2603
2023-01-27,2220
2023-01-28,1550
2023-01-29,1160
2023-01-30,1972
2023-01-31,2657
2023-02-01,2254
2023-02-02,2534
2023-02-03,2528
2023-02-04,1700
2023-02-05,1263
2023-02-06,1340
2023-02-07,1124
2023-02-08,1059
2023-02-09,1161
2023-02-10,947
2023-02-11,715
2023-02-12,546
2023-02-13,1139
2023-02-14,1481
2023-02-15,1401
2023-02-16,1411
2023-02-17,1552
2023-02-18,1053
2023-02-19,947
2023-02-20,1853
2023-02-21,2063
2023-02-22,1810
2023-02-23,2202
2023-02-24,2575
2023-02-25,1453
2023-02-26,966
2023-02-27,1698
2023-02-28,2131
2023-03-01,1910
2023-03-02,1943
2023-03-03,1572
2023-03-04,992
2023-03-05,770
2023-03-06,1380
2023-03-07,1716
2023-03-08,1762
2023-03-09,2041
2023-03-10,1648
2023-03-11,1024
2023-03-12,903
2023-03-13,2007
2023-03-14,2347
2023-03-15,2198
2023-03-16,2314
2023-03-17,2208
2023-03-18,1339
2023-03-19,993
2023-03-20,2267
2023-03-21,2002
2023-03-22,2173
2023-03-23,2155
2023-03-24,1766
2023-03-25,1238
2023-03-26,1226
2023-03-27,2005
2023-03-28,1897
2023-03-29,1877
2023-03-30,2241
2023-03-31,1773
2023-04-01,1050
2023-04-02,1121
2023-04-03,1886
2023-04-04,2318
2023-04-05,2672
2023-04-06,2000
2023-04-07,2578
2023-04-08,1437
2023-04-09,1018
2023-04-10,1978
2023-04-11,2210
2023-04-12,2393
2023-04-13,2507
2023-04-14,2444
2023-04-15,1502
2023-04-16,1277
2023-04-17,2239
2023-04-18,2664
2023-04-19,2547
2023-04-20,1946
2023-04-21,1482
2023-04-22,1274
2023-04-23,1036
2023-04-24,2523
2023-04-25,2336
2023-04-26,2686
2023-04-27,2477
2023-04-28,2538
2023-04-29,1578
2023-04-30,1334
2023-05-01,1744
2023-05-02,2518
2023-05-03,2576
2023-05-04,2536
2023-05-05,2237
2023-05-06,1265
2023-05-07,1131
2023-05-08,2099
2023-05-09,2542
2023-05-10,2811
2023-05-11,2618
2023-05-12,2224
2023-05-13,1654
2023-05-14,907
2023-05-15,1510
2023-05-16,1846
2023-05-17,2228
2023-05-18,2182
2023-05-19,1905
2023-05-20,1434
2023-05-21,1427
2023-05-22,2239
2023-05-23,2009
2023-05-24,2338
2023-05-25,1994
2023-05-26,1932
2023-05-27,1184
2023-05-28,765
2023-05-29,1887
2023-05-30,2622
2023-05-31,2425
2023-06-01,2481
2023-06-02,2241
2023-06-03,1308
2023-06-04,1305
2023-06-05,2045
2023-06-06,2789
2023-06-07,2483
2023-06-08,2180
2023-06-09,2223
2023-06-10,1241
2023-06-11,1168
2023-06-12,2093
2023-06-13,2183
2023-06-14,2332
2023-06-15,2200
2023-06-16,1915
2023-06-17,1242
2023-06-18,1034
2023-06-19,1865
2023-06-20,1963
2023-06-21,2481
2023-06-22,1908
2023-06-23,1831
2023-06-24,2904
2023-06-25,1880
2023-06-26,2102
2023-06-27,1709
2023-06-28,1284
2023-06-29,1520
2023-06-30,1411
2023-07-01,867
2023-07-02,870
2023-07-03,1958
2023-07-04,2013
2023-07-05,1877
2023-07-06,2289
2023-07-07,2015
2023-07-08,1584
2023-07-09,1271
2023-07-10,2518
2023-07-11,2903
2023-07-12,3154
2023-07-13,2088
2023-07-14,2359
2023-07-15,1171
2023-07-16,1201
2023-07-17,2782
2023-07-18,2197
2023-07-19,2051
2023-07-20,2307
2023-07-21,1955
2023-07-22,1267
2023-07-23,885
2023-07-24,1745
2023-07-25,1791
2023-07-26,2054
2023-07-27,1915
2023-07-28,1713
2023-07-29,1176
2023-07-30,1043
2023-07-31,1505
2023-08-01,1765
2023-08-02,1973
2023-08-03,1818
2023-08-04,1921
2023-08-05,1287
2023-08-06,1058
2023-08-07,1900
2023-08-08,1920
2023-08-09,2530
2023-08-10,1971
2023-08-11,1816
2023-08-12,1099
2023-08-13,1061
2023-08-14,1684
2023-08-15,2032
2023-08-16,1779
2023-08-17,3681
2023-08-18,1927
2023-08-19,1315
2023-08-20,1112
2023-08-21,1922
2023-08-22,1936
2023-08-23,2386
2023-08-24,2634
2023-08-25,2208
2023-08-26,1132
2023-08-27,1148
2023-08-28,1766
2023-08-29,1796
2023-08-30,1836
2023-08-31,2347
2023-09-01,1845
2023-09-02,1139
2023-09-03,983
2023-09-04,2134
2023-09-05,2186
2023-09-06,2342
2023-09-07,2111
2023-09-08,2223
2023-09-09,1471
2023-09-10,1275
2023-09-11,2057
2023-09-12,1997
2023-09-13,2268
2023-09-14,2205
2023-09-15,1999
2023-09-16,1439
2023-09-17,1156
2023-09-18,2197
2023-09-19,2860
2023-09-20,2249
2023-09-21,2113
2023-09-22,1765
2023-09-23,1236
2023-09-24,1001
2023-09-25,1621
2023-09-26,2016
2023-09-27,2086
2023-09-28,1849
2023-09-29,1410
2023-09-30,1142
2023-10-01,855
2023-10-02,1363
2023-10-03,1811
2023-10-04,1748
2023-10-05,2225
2023-10-06,1964
2023-10-07,2016
2023-10-08,1785
2023-10-09,2948
2023-10-10,3594
2023-10-11,3213
2023-10-12,3665
2023-10-13,3546
2023-10-14,2801
2023-10-15,2698
2023-10-16,3434
2023-10-17,3518
2023-10-18,5746
2023-10-19,4311
2023-10-20,4051
2023-10-21,3103
2023-10-22,2551
2023-10-23,3247
2023-10-24,3856
2023-10-25,3666
2023-10-26,3778
2023-10-27,3178
2023-10-28,2687
2023-10-29,2027
2023-10-30,2835
2023-10-31,3162
2023-11-01,3133
2023-11-02,2871
2023-11-03,3076
2023-11-04,2177
2023-11-05,853
2023-11-06,4028
2023-11-07,3350
2023-11-08,3207
2023-11-09,3023
2023-11-10,2516
2023-11-11,2164
2023-11-12,2016
2023-11-13,2631
2023-11-14,2886
2023-11-15,3017
2023-11-16,2704
2023-11-17,2629
2023-11-18,1913
2023-11-19,1765
2023-11-20,2521
2023-11-21,2657
2023-11-22,2719
2023-11-23,2193
2023-11-24,1869
2023-11-25,1469
2023-11-26,1309
2023-11-27,2368
2023-11-28,2553
2023-11-29,2955
2023-11-30,2605
2023-12-01,2330
2023-12-02,1900
2023-12-03,1701
2023-12-04,2435
2023-12-05,2813
2023-12-06,3216
2023-12-07,3007
2023-12-08,3351
2023-12-09,2736
2023-12-10,2200
2023-12-11,3267
2023-12-12,3237
2023-12-13,3622
2023-12-14,3235
2023-12-15,3065
2023-12-16,2177
2023-12-17,2072
2023-12-18,2692
2023-12-19,4086
2023-12-20,2964
2023-12-21,2948
2023-12-22,2724
2023-12-23,1801
2023-12-24,1560
2023-12-25,2489
2023-12-26,3425
2023-12-27,2554
2023-12-28,2591
2023-12-29,2478
2023-12-30,2026
2023-12-31,1961
